"VOTRE FICHIER (nom actuel)";"Fichier attendu";"Type";"Contexte";"Ce que l'image doit montrer";"Taille conseillee"
"";"/cards/spells/spell_meduse_generator_2.png";"Sort";"Méduse · Générateur 2";"Frappe simple et ciblée — souvent 3 dégâts à un ennemi";"640 x 640 px"
"";"/cards/spells/spell_meduse_skill_1.png";"Sort";"Méduse · Compétence 1";"Le coup signature, bon marché";"640 x 640 px"
"";"/cards/spells/spell_meduse_skill_2.png";"Sort";"Méduse · Compétence 2";"Le coup lourd, celui qui coûte cher";"640 x 640 px"
"";"/cards/spells/spell_meduse_utility_1.png";"Sort";"Méduse · Utilitaire";"Bouclier, provocation, soin, état — ce qui n'est pas de l'attaque";"640 x 640 px"
"";"/cards/gods/demons_tartare.png";"Portrait";"Démons du Tartare — serviteur de Hadès";"Le visage de l'unité. 16 PV, 2 points en Duel.";"640 x 640 px"
"";"/cards/spells/spell_demons_tartare_generator_1.png";"Sort";"Démons du Tartare · Générateur 1";"Frappe faible et large — souvent 1 dégât à tous les ennemis";"640 x 640 px"
"";"/cards/spells/spell_demons_tartare_generator_2.png";"Sort";"Démons du Tartare · Générateur 2";"Frappe simple et ciblée — souvent 3 dégâts à un ennemi";"640 x 640 px"
"";"/cards/spells/spell_demons_tartare_skill_1.png";"Sort";"Démons du Tartare · Compétence 1";"Le coup signature, bon marché";"640 x 640 px"
"";"/cards/spells/spell_demons_tartare_skill_2.png";"Sort";"Démons du Tartare · Compétence 2";"Le coup lourd, celui qui coûte cher";"640 x 640 px"
"";"/cards/spells/spell_demons_tartare_utility_1.png";"Sort";"Démons du Tartare · Utilitaire";"Bouclier, provocation, soin, état — ce qui n'est pas de l'attaque";"640 x 640 px"
"";"/cards/gods/cerbere.png";"Portrait";"Cerbère — créature de Hadès";"Le visage de l'unité. 22 PV, 3 points en Duel.";"640 x 640 px"
"";"/cards/spells/spell_cerbere_generator_1.png";"Sort";"Cerbère · Générateur 1";"Frappe faible et large — souvent 1 dégât à tous les ennemis";"640 x 640 px"
"";"/cards/spells/spell_cerbere_generator_2.png";"Sort";"Cerbère · Générateur 2";"Frappe simple et ciblée — souvent 3 dégâts à un ennemi";"640 x 640 px"
"";"/cards/spells/spell_cerbere_skill_1.png";"Sort";"Cerbère · Compétence 1";"Le coup signature, bon marché";"640 x 640 px"
"";"/cards/spells/spell_cerbere_skill_2.png";"Sort";"Cerbère · Compétence 2";"Le coup lourd, celui qui coûte cher";"640 x 640 px"
"";"/cards/spells/spell_cerbere_utility_1.png";"Sort";"Cerbère · Utilitaire";"Bouclier, provocation, soin, état — ce qui n'est pas de l'attaque";"640 x 640 px"
"";"/cards/gods/serviteurs_aphrodite.png";"Portrait";"Serviteurs d'Aphrodite — serviteur de Aphrodite";"Le visage de l'unité. 16 PV, 2 points en Duel.";"640 x 640 px"
"";"/cards/spells/spell_serviteurs_aphrodite_generator_1.png";"Sort";"Serviteurs d'Aphrodite · Générateur 1";"Frappe faible et large — souvent 1 dégât à tous les ennemis";"640 x 640 px"
"";"/cards/spells/spell_serviteurs_aphrodite_generator_2.png";"Sort";"Serviteurs d'Aphrodite · Générateur 2";"Frappe simple et ciblée — souvent 3 dégâts à un ennemi";"640 x 640 px"
"";"/cards/spells/spell_serviteurs_aphrodite_skill_1.png";"Sort";"Serviteurs d'Aphrodite · Compétence 1";"Le coup signature, bon marché";"640 x 640 px"
"";"/cards/spells/spell_serviteurs_aphrodite_skill_2.png";"Sort";"Serviteurs d'Aphrodite · Compétence 2";"Le coup lourd, celui qui coûte cher";"640 x 640 px"
"";"/cards/spells/spell_serviteurs_aphrodite_utility_1.png";"Sort";"Serviteurs d'Aphrodite · Utilitaire";"Bouclier, provocation, soin, état — ce qui n'est pas de l'attaque";"640 x 640 px"
"";"/cards/gods/achille.png";"Portrait";"Achille — créature de Aphrodite";"Le visage de l'unité. 22 PV, 3 points en Duel.";"640 x 640 px"
"";"/cards/spells/spell_achille_generator_1.png";"Sort";"Achille · Générateur 1";"Frappe faible et large — souvent 1 dégât à tous les ennemis";"640 x 640 px"
"";"/cards/spells/spell_achille_generator_2.png";"Sort";"Achille · Générateur 2";"Frappe simple et ciblée — souvent 3 dégâts à un ennemi";"640 x 640 px"
"";"/cards/spells/spell_achille_skill_1.png";"Sort";"Achille · Compétence 1";"Le coup signature, bon marché";"640 x 640 px"
"";"/cards/spells/spell_achille_skill_2.png";"Sort";"Achille · Compétence 2";"Le coup lourd, celui qui coûte cher";"640 x 640 px"
"";"/cards/spells/spell_achille_utility_1.png";"Sort";"Achille · Utilitaire";"Bouclier, provocation, soin, état — ce qui n'est pas de l'attaque";"640 x 640 px"
"";"/cards/gods/oracle_delphes.png";"Portrait";"Oracle de Delphes — serviteur de Apollon";"Le visage de l'unité. 16 PV, 2 points en Duel.";"640 x 640 px"
"";"/cards/spells/spell_oracle_delphes_generator_1.png";"Sort";"Oracle de Delphes · Générateur 1";"Frappe faible et large — souvent 1 dégât à tous les ennemis";"640 x 640 px"
"";"/cards/spells/spell_oracle_delphes_generator_2.png";"Sort";"Oracle de Delphes · Générateur 2";"Frappe simple et ciblée — souvent 3 dégâts à un ennemi";"640 x 640 px"
"";"/cards/spells/spell_oracle_delphes_skill_1.png";"Sort";"Oracle de Delphes · Compétence 1";"Le coup signature, bon marché";"640 x 640 px"
"";"/cards/spells/spell_oracle_delphes_skill_2.png";"Sort";"Oracle de Delphes · Compétence 2";"Le coup lourd, celui qui coûte cher";"640 x 640 px"
"";"/cards/spells/spell_oracle_delphes_utility_1.png";"Sort";"Oracle de Delphes · Utilitaire";"Bouclier, provocation, soin, état — ce qui n'est pas de l'attaque";"640 x 640 px"
"";"/cards/gods/python.png";"Portrait";"Python — créature de Apollon";"Le visage de l'unité. 22 PV, 3 points en Duel.";"640 x 640 px"
"";"/cards/spells/spell_python_generator_1.png";"Sort";"Python · Générateur 1";"Frappe faible et large — souvent 1 dégât à tous les ennemis";"640 x 640 px"
"";"/cards/spells/spell_python_generator_2.png";"Sort";"Python · Générateur 2";"Frappe simple et ciblée — souvent 3 dégâts à un ennemi";"640 x 640 px"
"";"/cards/spells/spell_python_skill_1.png";"Sort";"Python · Compétence 1";"Le coup signature, bon marché";"640 x 640 px"
"";"/cards/spells/spell_python_skill_2.png";"Sort";"Python · Compétence 2";"Le coup lourd, celui qui coûte cher";"640 x 640 px"
"";"/cards/spells/spell_python_utility_1.png";"Sort";"Python · Utilitaire";"Bouclier, provocation, soin, état — ce qui n'est pas de l'attaque";"640 x 640 px"
"";"/cards/gods/satyres.png";"Portrait";"Satyres — serviteur de Dionysos";"Le visage de l'unité. 16 PV, 2 points en Duel.";"640 x 640 px"
"";"/cards/spells/spell_satyres_generator_1.png";"Sort";"Satyres · Générateur 1";"Frappe faible et large — souvent 1 dégât à tous les ennemis";"640 x 640 px"
"";"/cards/spells/spell_satyres_generator_2.png";"Sort";"Satyres · Générateur 2";"Frappe simple et ciblée — souvent 3 dégâts à un ennemi";"640 x 640 px"
"";"/cards/spells/spell_satyres_skill_1.png";"Sort";"Satyres · Compétence 1";"Le coup signature, bon marché";"640 x 640 px"
"";"/cards/spells/spell_satyres_skill_2.png";"Sort";"Satyres · Compétence 2";"Le coup lourd, celui qui coûte cher";"640 x 640 px"
"";"/cards/spells/spell_satyres_utility_1.png";"Sort";"Satyres · Utilitaire";"Bouclier, provocation, soin, état — ce qui n'est pas de l'attaque";"640 x 640 px"
"";"/cards/gods/chiron.png";"Portrait";"Chiron — créature de Dionysos";"Le visage de l'unité. 22 PV, 3 points en Duel.";"640 x 640 px"
"";"/cards/spells/spell_chiron_generator_1.png";"Sort";"Chiron · Générateur 1";"Frappe faible et large — souvent 1 dégât à tous les ennemis";"640 x 640 px"
"";"/cards/spells/spell_chiron_generator_2.png";"Sort";"Chiron · Générateur 2";"Frappe simple et ciblée — souvent 3 dégâts à un ennemi";"640 x 640 px"
"";"/cards/spells/spell_chiron_skill_1.png";"Sort";"Chiron · Compétence 1";"Le coup signature, bon marché";"640 x 640 px"
"";"/cards/spells/spell_chiron_skill_2.png";"Sort";"Chiron · Compétence 2";"Le coup lourd, celui qui coûte cher";"640 x 640 px"
"";"/cards/spells/spell_chiron_utility_1.png";"Sort";"Chiron · Utilitaire";"Bouclier, provocation, soin, état — ce qui n'est pas de l'attaque";"640 x 640 px"
"";"/cards/gods/garde_celeste.png";"Portrait";"Garde céleste — serviteur de Zeus";"Le visage de l'unité. 16 PV, 2 points en Duel.";"640 x 640 px"
"";"/cards/spells/spell_garde_celeste_generator_1.png";"Sort";"Garde céleste · Générateur 1";"Frappe faible et large — souvent 1 dégât à tous les ennemis";"640 x 640 px"
"";"/cards/spells/spell_garde_celeste_generator_2.png";"Sort";"Garde céleste · Générateur 2";"Frappe simple et ciblée — souvent 3 dégâts à un ennemi";"640 x 640 px"
"";"/cards/spells/spell_garde_celeste_skill_1.png";"Sort";"Garde céleste · Compétence 1";"Le coup signature, bon marché";"640 x 640 px"
"";"/cards/spells/spell_garde_celeste_skill_2.png";"Sort";"Garde céleste · Compétence 2";"Le coup lourd, celui qui coûte cher";"640 x 640 px"
"";"/cards/spells/spell_garde_celeste_utility_1.png";"Sort";"Garde céleste · Utilitaire";"Bouclier, provocation, soin, état — ce qui n'est pas de l'attaque";"640 x 640 px"
"";"/cards/gods/harpies.png";"Portrait";"Harpies — créature de Zeus";"Le visage de l'unité. 22 PV, 3 points en Duel.";"640 x 640 px"
"";"/cards/spells/spell_harpies_generator_1.png";"Sort";"Harpies · Générateur 1";"Frappe faible et large — souvent 1 dégât à tous les ennemis";"640 x 640 px"
"";"/cards/spells/spell_harpies_generator_2.png";"Sort";"Harpies · Générateur 2";"Frappe simple et ciblée — souvent 3 dégâts à un ennemi";"640 x 640 px"
"";"/cards/spells/spell_harpies_skill_1.png";"Sort";"Harpies · Compétence 1";"Le coup signature, bon marché";"640 x 640 px"
"";"/cards/spells/spell_harpies_skill_2.png";"Sort";"Harpies · Compétence 2";"Le coup lourd, celui qui coûte cher";"640 x 640 px"
"";"/cards/spells/spell_harpies_utility_1.png";"Sort";"Harpies · Utilitaire";"Bouclier, provocation, soin, état — ce qui n'est pas de l'attaque";"640 x 640 px"
"";"/cards/gods/chiens_chasse.png";"Portrait";"Chiens de chasse — serviteur de Artémis";"Le visage de l'unité. 16 PV, 2 points en Duel.";"640 x 640 px"
"";"/cards/spells/spell_chiens_chasse_generator_1.png";"Sort";"Chiens de chasse · Générateur 1";"Frappe faible et large — souvent 1 dégât à tous les ennemis";"640 x 640 px"
"";"/cards/spells/spell_chiens_chasse_generator_2.png";"Sort";"Chiens de chasse · Générateur 2";"Frappe simple et ciblée — souvent 3 dégâts à un ennemi";"640 x 640 px"
"";"/cards/spells/spell_chiens_chasse_skill_1.png";"Sort";"Chiens de chasse · Compétence 1";"Le coup signature, bon marché";"640 x 640 px"
"";"/cards/spells/spell_chiens_chasse_skill_2.png";"Sort";"Chiens de chasse · Compétence 2";"Le coup lourd, celui qui coûte cher";"640 x 640 px"
"";"/cards/spells/spell_chiens_chasse_utility_1.png";"Sort";"Chiens de chasse · Utilitaire";"Bouclier, provocation, soin, état — ce qui n'est pas de l'attaque";"640 x 640 px"
"";"/cards/gods/acteon.png";"Portrait";"Actéon — créature de Artémis";"Le visage de l'unité. 22 PV, 3 points en Duel.";"640 x 640 px"
"";"/cards/spells/spell_acteon_generator_1.png";"Sort";"Actéon · Générateur 1";"Frappe faible et large — souvent 1 dégât à tous les ennemis";"640 x 640 px"
"";"/cards/spells/spell_acteon_generator_2.png";"Sort";"Actéon · Générateur 2";"Frappe simple et ciblée — souvent 3 dégâts à un ennemi";"640 x 640 px"
"";"/cards/spells/spell_acteon_skill_1.png";"Sort";"Actéon · Compétence 1";"Le coup signature, bon marché";"640 x 640 px"
"";"/cards/spells/spell_acteon_skill_2.png";"Sort";"Actéon · Compétence 2";"Le coup lourd, celui qui coûte cher";"640 x 640 px"
"";"/cards/spells/spell_acteon_utility_1.png";"Sort";"Actéon · Utilitaire";"Bouclier, provocation, soin, état — ce qui n'est pas de l'attaque";"640 x 640 px"
"";"/cards/gods/occultiste.png";"Portrait";"Occultiste — serviteur de Nyx";"Le visage de l'unité. 16 PV, 2 points en Duel.";"640 x 640 px"
"";"/cards/spells/spell_occultiste_generator_1.png";"Sort";"Occultiste · Générateur 1";"Frappe faible et large — souvent 1 dégât à tous les ennemis";"640 x 640 px"
"";"/cards/spells/spell_occultiste_generator_2.png";"Sort";"Occultiste · Générateur 2";"Frappe simple et ciblée — souvent 3 dégâts à un ennemi";"640 x 640 px"
"";"/cards/spells/spell_occultiste_skill_1.png";"Sort";"Occultiste · Compétence 1";"Le coup signature, bon marché";"640 x 640 px"
"";"/cards/spells/spell_occultiste_skill_2.png";"Sort";"Occultiste · Compétence 2";"Le coup lourd, celui qui coûte cher";"640 x 640 px"
"";"/cards/spells/spell_occultiste_utility_1.png";"Sort";"Occultiste · Utilitaire";"Bouclier, provocation, soin, état — ce qui n'est pas de l'attaque";"640 x 640 px"
"";"/cards/gods/erinyes.png";"Portrait";"Les Érinyes — créature de Nyx";"Le visage de l'unité. 22 PV, 3 points en Duel.";"640 x 640 px"
"";"/cards/spells/spell_erinyes_generator_1.png";"Sort";"Les Érinyes · Générateur 1";"Frappe faible et large — souvent 1 dégât à tous les ennemis";"640 x 640 px"
"";"/cards/spells/spell_erinyes_generator_2.png";"Sort";"Les Érinyes · Générateur 2";"Frappe simple et ciblée — souvent 3 dégâts à un ennemi";"640 x 640 px"
"";"/cards/spells/spell_erinyes_skill_1.png";"Sort";"Les Érinyes · Compétence 1";"Le coup signature, bon marché";"640 x 640 px"
"";"/cards/spells/spell_erinyes_skill_2.png";"Sort";"Les Érinyes · Compétence 2";"Le coup lourd, celui qui coûte cher";"640 x 640 px"
"";"/cards/spells/spell_erinyes_utility_1.png";"Sort";"Les Érinyes · Utilitaire";"Bouclier, provocation, soin, état — ce qui n'est pas de l'attaque";"640 x 640 px"
"";"/cards/gods/sirenes.png";"Portrait";"Sirènes — serviteur de Déméter";"Le visage de l'unité. 16 PV, 2 points en Duel.";"640 x 640 px"
"";"/cards/spells/spell_sirenes_generator_1.png";"Sort";"Sirènes · Générateur 1";"Frappe faible et large — souvent 1 dégât à tous les ennemis";"640 x 640 px"
"";"/cards/spells/spell_sirenes_generator_2.png";"Sort";"Sirènes · Générateur 2";"Frappe simple et ciblée — souvent 3 dégâts à un ennemi";"640 x 640 px"
"";"/cards/spells/spell_sirenes_skill_1.png";"Sort";"Sirènes · Compétence 1";"Le coup signature, bon marché";"640 x 640 px"
"";"/cards/spells/spell_sirenes_skill_2.png";"Sort";"Sirènes · Compétence 2";"Le coup lourd, celui qui coûte cher";"640 x 640 px"
"";"/cards/spells/spell_sirenes_utility_1.png";"Sort";"Sirènes · Utilitaire";"Bouclier, provocation, soin, état — ce qui n'est pas de l'attaque";"640 x 640 px"
"";"/cards/gods/minotaure.png";"Portrait";"Minotaure — créature de Déméter";"Le visage de l'unité. 22 PV, 3 points en Duel.";"640 x 640 px"
"";"/cards/spells/spell_minotaure_generator_1.png";"Sort";"Minotaure · Générateur 1";"Frappe faible et large — souvent 1 dégât à tous les ennemis";"640 x 640 px"
"";"/cards/spells/spell_minotaure_generator_2.png";"Sort";"Minotaure · Générateur 2";"Frappe simple et ciblée — souvent 3 dégâts à un ennemi";"640 x 640 px"
"";"/cards/spells/spell_minotaure_skill_1.png";"Sort";"Minotaure · Compétence 1";"Le coup signature, bon marché";"640 x 640 px"
"";"/cards/spells/spell_minotaure_skill_2.png";"Sort";"Minotaure · Compétence 2";"Le coup lourd, celui qui coûte cher";"640 x 640 px"
"";"/cards/spells/spell_minotaure_utility_1.png";"Sort";"Minotaure · Utilitaire";"Bouclier, provocation, soin, état — ce qui n'est pas de l'attaque";"640 x 640 px"
